order,name,altitude,latitude,longitude,regions,description,suggested_photo_file
21,el Taga,2039,42.280763,2.2099,Ripollès,"Cim molt popular del Ripollès, accessible i panoràmic, sovint utilitzat com a objectiu d’iniciació a l’alta muntanya.",images/21_taga.jpg
22,Puigsacalm,1515,42.1242,2.3932,Garrotxa; Osona,"Cim emblemàtic entre la Garrotxa i Osona, molt conegut per les vistes sobre la vall d’en Bas i el paisatge prepirinenc.",images/22_puigsacalm.jpg
23,Matagalls,1697,41.808791,2.382702,Osona; Vallès Oriental,"Un dels cims més populars del Montseny, amb molta tradició excursionista i un perfil clarament identificable.",images/23_matagalls.jpg
24,Turó de l'Home,1706,41.7769,2.4341,Vallès Oriental; Selva,"Punt culminant del massís del Montseny, molt conegut per la seva accessibilitat i per les vistes sobre bona part de Catalunya.",images/24_turo_de_lhome.jpg
25,Les Agudes (Massís del Montseny),1706,41.789325,2.443955,Selva; Vallès Oriental,"Cim destacat del Montseny, proper al Turó de l’Home i molt habitual en travesses clàssiques del massís.",images/25_les_agudes.jpg
26,Sant Jeroni (el Bruc),1236,41.605365,1.811457,Anoia; Bages,"Punt més alt de Montserrat, molt conegut per les seves vistes i per la seva importància dins l’excursionisme català.",images/26_sant_jeroni.jpg
27,La Mola (Sant Llorenç del Munt),1104,41.6417,2.0181,Vallès Occidental,"Cim principal de Sant Llorenç del Munt, molt freqüentat i conegut pel monestir situat al capdamunt.",images/27_la_mola.jpg
28,Montcau (Sant Llorenç del Munt),1056,41.6759,2.0206,Bages; Vallès Occidental,"Cim arrodonit i molt popular del parc natural de Sant Llorenç del Munt i l’Obac, sovint combinat amb La Mola.",images/28_montcau.jpg
29,Mont Caro,1442,40.8036,0.3434,Baix Ebre,"Cim més alt del massís dels Ports, referent muntanyenc del sud de Catalunya i gran mirador sobre l’Ebre.",images/29_mont_caro.jpg
30,Puig de Bassegoda,1373,42.312791,2.630777,Garrotxa; Alt Empordà,"Cim característic de l’Alta Garrotxa, amb una silueta molt reconeixible i una forta presència en l’excursionisme local.",images/30_bassegoda.jpg
